@relation 'AirQualityUCI all numeric - custer-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Discretize-B12-M-1.0-R1-weka.filters.unsupervised.attribute.Discretize-O-B30-M-1.0-R3-last'

@attribute Date {'\'(-inf-1.916667]\'','\'(1.916667-2.833333]\'','\'(2.833333-3.75]\'','\'(3.75-4.666667]\'','\'(4.666667-5.583333]\'','\'(5.583333-6.5]\'','\'(6.5-7.416667]\'','\'(7.416667-8.333333]\'','\'(8.333333-9.25]\'','\'(9.25-10.166667]\'','\'(10.166667-11.083333]\'','\'(11.083333-inf)\''}
@attribute Time numeric
@attribute CO(GT) {'\'(-inf-0.493333]\'','\'(0.493333-0.886667]\'','\'(0.886667-1.28]\'','\'(1.28-1.673333]\'','\'(1.673333-2.066667]\'','\'(2.066667-2.46]\'','\'(2.46-2.853333]\'','\'(2.853333-3.246667]\'','\'(3.246667-3.64]\'','\'(3.64-4.033333]\'','\'(4.033333-4.426667]\'','\'(4.426667-4.82]\'','\'(4.82-inf)\''}
@attribute PT08S1(CO) {'\'(-inf-693.433333]\'','\'(693.433333-739.866667]\'','\'(739.866667-786.3]\'','\'(786.3-832.733333]\'','\'(832.733333-879.166667]\'','\'(879.166667-925.6]\'','\'(925.6-972.033333]\'','\'(972.033333-1018.466667]\'','\'(1018.466667-1064.9]\'','\'(1064.9-1111.333333]\'','\'(1111.333333-1157.766667]\'','\'(1157.766667-1204.2]\'','\'(1204.2-1250.633333]\'','\'(1250.633333-1297.066667]\'','\'(1297.066667-1343.5]\'','\'(1343.5-1389.933333]\'','\'(1389.933333-1436.366667]\'','\'(1436.366667-1482.8]\'','\'(1482.8-1529.233333]\'','\'(1529.233333-1575.666667]\'','\'(1575.666667-1622.1]\'','\'(1622.1-1668.533333]\'','\'(1668.533333-1714.966667]\'','\'(1714.966667-1761.4]\'','\'(1761.4-1807.833333]\'','\'(1807.833333-1854.266667]\'','\'(1854.266667-inf)\''}
@attribute NMHC(GT) {'\'(-inf-46.4]\'','\'(46.4-85.8]\'','\'(85.8-125.2]\'','\'(125.2-164.6]\'','\'(164.6-204]\'','\'(204-243.4]\'','\'(243.4-282.8]\'','\'(282.8-322.2]\'','\'(322.2-361.6]\'','\'(361.6-401]\'','\'(401-440.4]\'','\'(440.4-479.8]\'','\'(479.8-inf)\''}
@attribute C6H6(GT) {'\'(-inf-2.22]\'','\'(2.22-4.34]\'','\'(4.34-6.46]\'','\'(6.46-8.58]\'','\'(8.58-inf)\''}
@attribute PT08S2(NMHC) {'\'(-inf-444.033333]\'','\'(444.033333-505.066667]\'','\'(505.066667-566.1]\'','\'(566.1-627.133333]\'','\'(627.133333-688.166667]\'','\'(688.166667-749.2]\'','\'(749.2-810.233333]\'','\'(810.233333-inf)\''}
@attribute NOx(GT) {'\'(-inf-51.233333]\'','\'(51.233333-100.466667]\'','\'(100.466667-149.7]\'','\'(149.7-198.933333]\'','\'(198.933333-248.166667]\'','\'(248.166667-297.4]\'','\'(297.4-346.633333]\'','\'(346.633333-395.866667]\'','\'(395.866667-445.1]\'','\'(445.1-494.333333]\'','\'(494.333333-543.566667]\'','\'(543.566667-592.8]\'','\'(592.8-642.033333]\'','\'(642.033333-691.266667]\'','\'(691.266667-740.5]\'','\'(740.5-inf)\''}
@attribute PT08S3(NOx) {'\'(-inf-400.7]\'','\'(400.7-479.4]\'','\'(479.4-558.1]\'','\'(558.1-636.8]\'','\'(636.8-715.5]\'','\'(715.5-794.2]\'','\'(794.2-872.9]\'','\'(872.9-951.6]\'','\'(951.6-1030.3]\'','\'(1030.3-1109]\'','\'(1109-1187.7]\'','\'(1187.7-inf)\''}
@attribute NO2(GT) {'\'(-inf-13.266667]\'','\'(13.266667-24.533333]\'','\'(24.533333-35.8]\'','\'(35.8-47.066667]\'','\'(47.066667-58.333333]\'','\'(58.333333-69.6]\'','\'(69.6-80.866667]\'','\'(80.866667-92.133333]\'','\'(92.133333-103.4]\'','\'(103.4-114.666667]\'','\'(114.666667-125.933333]\'','\'(125.933333-137.2]\'','\'(137.2-148.466667]\'','\'(148.466667-159.733333]\'','\'(159.733333-171]\'','\'(171-182.266667]\'','\'(182.266667-193.533333]\'','\'(193.533333-204.8]\'','\'(204.8-216.066667]\'','\'(216.066667-227.333333]\'','\'(227.333333-238.6]\'','\'(238.6-249.866667]\'','\'(249.866667-261.133333]\'','\'(261.133333-272.4]\'','\'(272.4-283.666667]\'','\'(283.666667-294.933333]\'','\'(294.933333-306.2]\'','\'(306.2-317.466667]\'','\'(317.466667-inf)\''}
@attribute PT08S4(NO2) {'\'(-inf-625.133333]\'','\'(625.133333-699.266667]\'','\'(699.266667-773.4]\'','\'(773.4-847.533333]\'','\'(847.533333-921.666667]\'','\'(921.666667-995.8]\'','\'(995.8-1069.933333]\'','\'(1069.933333-1144.066667]\'','\'(1144.066667-1218.2]\'','\'(1218.2-1292.333333]\'','\'(1292.333333-1366.466667]\'','\'(1366.466667-1440.6]\'','\'(1440.6-1514.733333]\'','\'(1514.733333-1588.866667]\'','\'(1588.866667-1663]\'','\'(1663-1737.133333]\'','\'(1737.133333-1811.266667]\'','\'(1811.266667-1885.4]\'','\'(1885.4-1959.533333]\'','\'(1959.533333-2033.666667]\'','\'(2033.666667-2107.8]\'','\'(2107.8-2181.933333]\'','\'(2181.933333-2256.066667]\'','\'(2256.066667-2330.2]\'','\'(2330.2-2404.333333]\'','\'(2404.333333-2478.466667]\'','\'(2478.466667-inf)\''}
@attribute PT08S5(O3) {'\'(-inf-297.733333]\'','\'(297.733333-374.466667]\'','\'(374.466667-451.2]\'','\'(451.2-527.933333]\'','\'(527.933333-604.666667]\'','\'(604.666667-681.4]\'','\'(681.4-758.133333]\'','\'(758.133333-834.866667]\'','\'(834.866667-911.6]\'','\'(911.6-988.333333]\'','\'(988.333333-1065.066667]\'','\'(1065.066667-1141.8]\'','\'(1141.8-1218.533333]\'','\'(1218.533333-1295.266667]\'','\'(1295.266667-1372]\'','\'(1372-1448.733333]\'','\'(1448.733333-1525.466667]\'','\'(1525.466667-1602.2]\'','\'(1602.2-1678.933333]\'','\'(1678.933333-1755.666667]\'','\'(1755.666667-1832.4]\'','\'(1832.4-1909.133333]\'','\'(1909.133333-1985.866667]\'','\'(1985.866667-2062.6]\'','\'(2062.6-2139.333333]\'','\'(2139.333333-2216.066667]\'','\'(2216.066667-2292.8]\'','\'(2292.8-2369.533333]\'','\'(2369.533333-inf)\''}
@attribute T {'\'(-inf--0.35]\'','\'(-0.35-1.2]\'','\'(1.2-2.75]\'','\'(2.75-4.3]\'','\'(4.3-5.85]\'','\'(5.85-7.4]\'','\'(7.4-8.95]\'','\'(8.95-10.5]\'','\'(10.5-12.05]\'','\'(12.05-13.6]\'','\'(13.6-15.15]\'','\'(15.15-16.7]\'','\'(16.7-18.25]\'','\'(18.25-19.8]\'','\'(19.8-21.35]\'','\'(21.35-22.9]\'','\'(22.9-24.45]\'','\'(24.45-26]\'','\'(26-27.55]\'','\'(27.55-29.1]\'','\'(29.1-30.65]\'','\'(30.65-32.2]\'','\'(32.2-33.75]\'','\'(33.75-35.3]\'','\'(35.3-36.85]\'','\'(36.85-38.4]\'','\'(38.4-39.95]\'','\'(39.95-inf)\''}
@attribute RH {'\'(-inf-11.85]\'','\'(11.85-14.5]\'','\'(14.5-17.15]\'','\'(17.15-19.8]\'','\'(19.8-22.45]\'','\'(22.45-25.1]\'','\'(25.1-27.75]\'','\'(27.75-30.4]\'','\'(30.4-33.05]\'','\'(33.05-35.7]\'','\'(35.7-38.35]\'','\'(38.35-41]\'','\'(41-43.65]\'','\'(43.65-46.3]\'','\'(46.3-48.95]\'','\'(48.95-51.6]\'','\'(51.6-54.25]\'','\'(54.25-56.9]\'','\'(56.9-59.55]\'','\'(59.55-62.2]\'','\'(62.2-64.85]\'','\'(64.85-67.5]\'','\'(67.5-70.15]\'','\'(70.15-72.8]\'','\'(72.8-75.45]\'','\'(75.45-78.1]\'','\'(78.1-inf)\''}
@attribute AH numeric

@data
'\'(2.833333-3.75]\'',14,'\'(2.853333-3.246667]\'','\'(1343.5-1389.933333]\'','\'(125.2-164.6]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(198.933333-248.166667]\'','\'(951.6-1030.3]\'','\'(125.933333-137.2]\'','\'(1663-1737.133333]\'','\'(988.333333-1065.066667]\'','\'(7.4-8.95]\'','\'(78.1-inf)\'',0.87
'\'(2.833333-3.75]\'',15,'\'(2.066667-2.46]\'','\'(1297.066667-1343.5]\'','\'(46.4-85.8]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(149.7-198.933333]\'','\'(1030.3-1109]\'','\'(125.933333-137.2]\'','\'(1588.866667-1663]\'','\'(911.6-988.333333]\'','\'(7.4-8.95]\'','\'(78.1-inf)\'',0.88
'\'(2.833333-3.75]\'',16,'\'(2.066667-2.46]\'','\'(1250.633333-1297.066667]\'','\'(85.8-125.2]\'','\'(6.46-8.58]\'','\'(810.233333-inf)\'','\'(149.7-198.933333]\'','\'(1030.3-1109]\'','\'(125.933333-137.2]\'','\'(1588.866667-1663]\'','\'(911.6-988.333333]\'','\'(8.95-10.5]\'','\'(70.15-72.8]\'',0.86
'\'(2.833333-3.75]\'',17,'\'(2.853333-3.246667]\'','\'(1343.5-1389.933333]\'','\'(125.2-164.6]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(198.933333-248.166667]\'','\'(951.6-1030.3]\'','\'(125.933333-137.2]\'','\'(1663-1737.133333]\'','\'(1065.066667-1141.8]\'','\'(8.95-10.5]\'','\'(67.5-70.15]\'',0.82
'\'(2.833333-3.75]\'',18,'\'(4.426667-4.82]\'','\'(1575.666667-1622.1]\'','\'(282.8-322.2]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(248.166667-297.4]\'','\'(794.2-872.9]\'','\'(148.466667-159.733333]\'','\'(2033.666667-2107.8]\'','\'(1372-1448.733333]\'','\'(8.95-10.5]\'','\'(62.2-64.85]\'',0.81
'\'(2.833333-3.75]\'',19,'\'(4.82-inf)\'','\'(1761.4-1807.833333]\'','\'(440.4-479.8]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(346.633333-395.866667]\'','\'(636.8-715.5]\'','\'(171-182.266667]\'','\'(2330.2-2404.333333]\'','\'(1678.933333-1755.666667]\'','\'(8.95-10.5]\'','\'(67.5-70.15]\'',0.83
'\'(2.833333-3.75]\'',20,'\'(4.82-inf)\'','\'(1622.1-1668.533333]\'','\'(361.6-401]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(346.633333-395.866667]\'','\'(715.5-794.2]\'','\'(159.733333-171]\'','\'(2181.933333-2256.066667]\'','\'(1602.2-1678.933333]\'','\'(8.95-10.5]\'','\'(67.5-70.15]\'',0.81
'\'(2.833333-3.75]\'',21,'\'(3.64-4.033333]\'','\'(1297.066667-1343.5]\'','\'(164.6-204]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(198.933333-248.166667]\'','\'(951.6-1030.3]\'','\'(125.933333-137.2]\'','\'(1663-1737.133333]\'','\'(1218.533333-1295.266667]\'','\'(8.95-10.5]\'','\'(62.2-64.85]\'',0.74
'\'(2.833333-3.75]\'',22,'\'(1.28-1.673333]\'','\'(925.6-972.033333]\'','\'(46.4-85.8]\'','\'(4.34-6.46]\'','\'(688.166667-749.2]\'','\'(51.233333-100.466667]\'','\'(1187.7-inf)\'','\'(80.866667-92.133333]\'','\'(1292.333333-1366.466667]\'','\'(758.133333-834.866667]\'','\'(7.4-8.95]\'','\'(62.2-64.85]\'',0.69
'\'(2.833333-3.75]\'',23,'\'(0.886667-1.28]\'','\'(879.166667-925.6]\'','\'(-inf-46.4]\'','\'(2.22-4.34]\'','\'(627.133333-688.166667]\'','\'(-inf-51.233333]\'','\'(1187.7-inf)\'','\'(47.066667-58.333333]\'','\'(1218.2-1292.333333]\'','\'(527.933333-604.666667]\'','\'(7.4-8.95]\'','\'(59.55-62.2]\'',0.67
'\'(2.833333-3.75]\'',0,'\'(1.673333-2.066667]\'','\'(1064.9-1111.333333]\'','\'(46.4-85.8]\'','\'(4.34-6.46]\'','\'(749.2-810.233333]\'','\'(100.466667-149.7]\'','\'(1187.7-inf)\'','\'(92.133333-103.4]\'','\'(1366.466667-1440.6]\'','\'(758.133333-834.866667]\'','\'(7.4-8.95]\'','\'(56.9-59.55]\'',0.64
'\'(2.833333-3.75]\'',1,'\'(1.673333-2.066667]\'','\'(1018.466667-1064.9]\'','\'(46.4-85.8]\'','\'(4.34-6.46]\'','\'(810.233333-inf)\'','\'(100.466667-149.7]\'','\'(1187.7-inf)\'','\'(103.4-114.666667]\'','\'(1366.466667-1440.6]\'','\'(758.133333-834.866667]\'','\'(7.4-8.95]\'','\'(59.55-62.2]\'',0.63
'\'(2.833333-3.75]\'',2,'\'(1.28-1.673333]\'','\'(972.033333-1018.466667]\'','\'(-inf-46.4]\'','\'(2.22-4.34]\'','\'(688.166667-749.2]\'','\'(51.233333-100.466667]\'','\'(1187.7-inf)\'','\'(80.866667-92.133333]\'','\'(1292.333333-1366.466667]\'','\'(681.4-758.133333]\'','\'(5.85-7.4]\'','\'(59.55-62.2]\'',0.63
'\'(2.833333-3.75]\'',3,'\'(0.493333-0.886667]\'','\'(879.166667-925.6]\'','\'(-inf-46.4]\'','\'(-inf-2.22]\'','\'(566.1-627.133333]\'',?,'\'(1187.7-inf)\'',?,'\'(1144.066667-1218.2]\'','\'(451.2-527.933333]\'','\'(5.85-7.4]\'','\'(62.2-64.85]\'',0.63
'\'(2.833333-3.75]\'',4,?,'\'(786.3-832.733333]\'','\'(-inf-46.4]\'','\'(-inf-2.22]\'','\'(505.066667-566.1]\'','\'(-inf-51.233333]\'','\'(1187.7-inf)\'','\'(24.533333-35.8]\'','\'(1069.933333-1144.066667]\'','\'(374.466667-451.2]\'','\'(5.85-7.4]\'','\'(64.85-67.5]\'',0.62
'\'(2.833333-3.75]\'',5,'\'(0.493333-0.886667]\'','\'(832.733333-879.166667]\'','\'(-inf-46.4]\'','\'(-inf-2.22]\'','\'(444.033333-505.066667]\'','\'(-inf-51.233333]\'','\'(1187.7-inf)\'','\'(35.8-47.066667]\'','\'(1144.066667-1218.2]\'','\'(374.466667-451.2]\'','\'(5.85-7.4]\'','\'(64.85-67.5]\'',0.62
'\'(2.833333-3.75]\'',6,'\'(0.493333-0.886667]\'','\'(925.6-972.033333]\'','\'(-inf-46.4]\'','\'(-inf-2.22]\'','\'(566.1-627.133333]\'','\'(51.233333-100.466667]\'','\'(1187.7-inf)\'','\'(69.6-80.866667]\'','\'(1218.2-1292.333333]\'','\'(451.2-527.933333]\'','\'(5.85-7.4]\'','\'(62.2-64.85]\'',0.62
'\'(2.833333-3.75]\'',7,'\'(1.28-1.673333]\'','\'(1064.9-1111.333333]\'','\'(-inf-46.4]\'','\'(4.34-6.46]\'','\'(688.166667-749.2]\'','\'(100.466667-149.7]\'','\'(1187.7-inf)\'','\'(103.4-114.666667]\'','\'(1292.333333-1366.466667]\'','\'(681.4-758.133333]\'','\'(5.85-7.4]\'','\'(64.85-67.5]\'',0.63
'\'(2.833333-3.75]\'',8,'\'(4.033333-4.426667]\'','\'(1575.666667-1622.1]\'','\'(164.6-204]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(297.4-346.633333]\'','\'(872.9-951.6]\'','\'(137.2-148.466667]\'','\'(1885.4-1959.533333]\'','\'(1372-1448.733333]\'','\'(5.85-7.4]\'','\'(62.2-64.85]\'',0.65
'\'(2.833333-3.75]\'',9,?,'\'(1529.233333-1575.666667]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'',?,'\'(715.5-794.2]\'',?,'\'(2033.666667-2107.8]\'','\'(1525.466667-1602.2]\'','\'(8.95-10.5]\'','\'(54.25-56.9]\'',0.66
'\'(2.833333-3.75]\'',10,'\'(2.853333-3.246667]\'','\'(1343.5-1389.933333]\'','\'(204-243.4]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(149.7-198.933333]\'','\'(872.9-951.6]\'','\'(114.666667-125.933333]\'','\'(1663-1737.133333]\'','\'(1218.533333-1295.266667]\'','\'(12.05-13.6]\'','\'(41-43.65]\'',0.63
'\'(2.833333-3.75]\'',11,'\'(2.46-2.853333]\'','\'(1250.633333-1297.066667]\'','\'(164.6-204]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(198.933333-248.166667]\'','\'(951.6-1030.3]\'','\'(137.2-148.466667]\'','\'(1588.866667-1663]\'','\'(1141.8-1218.533333]\'','\'(13.6-15.15]\'','\'(38.35-41]\'',0.62
'\'(2.833333-3.75]\'',12,'\'(2.066667-2.46]\'','\'(1204.2-1250.633333]\'','\'(85.8-125.2]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(100.466667-149.7]\'','\'(1030.3-1109]\'','\'(103.4-114.666667]\'','\'(1514.733333-1588.866667]\'','\'(911.6-988.333333]\'','\'(13.6-15.15]\'','\'(35.7-38.35]\'',0.62
'\'(2.833333-3.75]\'',13,'\'(2.46-2.853333]\'','\'(1250.633333-1297.066667]\'','\'(125.2-164.6]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(149.7-198.933333]\'','\'(951.6-1030.3]\'','\'(114.666667-125.933333]\'','\'(1588.866667-1663]\'','\'(911.6-988.333333]\'','\'(15.15-16.7]\'','\'(33.05-35.7]\'',0.63
'\'(2.833333-3.75]\'',14,'\'(2.46-2.853333]\'','\'(1250.633333-1297.066667]\'','\'(164.6-204]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(149.7-198.933333]\'','\'(872.9-951.6]\'','\'(114.666667-125.933333]\'','\'(1588.866667-1663]\'','\'(988.333333-1065.066667]\'','\'(15.15-16.7]\'','\'(33.05-35.7]\'',0.66
'\'(2.833333-3.75]\'',15,'\'(2.853333-3.246667]\'','\'(1343.5-1389.933333]\'','\'(164.6-204]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(149.7-198.933333]\'','\'(872.9-951.6]\'','\'(125.933333-137.2]\'','\'(1737.133333-1811.266667]\'','\'(1065.066667-1141.8]\'','\'(15.15-16.7]\'','\'(35.7-38.35]\'',0.66
'\'(2.833333-3.75]\'',16,'\'(2.46-2.853333]\'','\'(1297.066667-1343.5]\'','\'(164.6-204]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(149.7-198.933333]\'','\'(951.6-1030.3]\'','\'(114.666667-125.933333]\'','\'(1588.866667-1663]\'','\'(1065.066667-1141.8]\'','\'(15.15-16.7]\'','\'(35.7-38.35]\'',0.67
'\'(2.833333-3.75]\'',17,'\'(2.066667-2.46]\'','\'(1250.633333-1297.066667]\'','\'(125.2-164.6]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(149.7-198.933333]\'','\'(951.6-1030.3]\'','\'(114.666667-125.933333]\'','\'(1588.866667-1663]\'','\'(988.333333-1065.066667]\'','\'(16.7-18.25]\'','\'(33.05-35.7]\'',0.65
'\'(2.833333-3.75]\'',18,'\'(3.64-4.033333]\'','\'(1482.8-1529.233333]\'','\'(204-243.4]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(198.933333-248.166667]\'','\'(794.2-872.9]\'','\'(148.466667-159.733333]\'','\'(1885.4-1959.533333]\'','\'(1372-1448.733333]\'','\'(13.6-15.15]\'','\'(38.35-41]\'',0.68
'\'(2.833333-3.75]\'',19,'\'(3.64-4.033333]\'','\'(1482.8-1529.233333]\'','\'(204-243.4]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(198.933333-248.166667]\'','\'(794.2-872.9]\'','\'(137.2-148.466667]\'','\'(1811.266667-1885.4]\'','\'(1372-1448.733333]\'','\'(13.6-15.15]\'','\'(41-43.65]\'',0.71
'\'(2.833333-3.75]\'',20,'\'(4.82-inf)\'','\'(1807.833333-1854.266667]\'','\'(479.8-inf)\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(297.4-346.633333]\'','\'(558.1-636.8]\'','\'(159.733333-171]\'','\'(2330.2-2404.333333]\'','\'(1832.4-1909.133333]\'','\'(12.05-13.6]\'','\'(48.95-51.6]\'',0.75
'\'(2.833333-3.75]\'',21,'\'(4.033333-4.426667]\'','\'(1575.666667-1622.1]\'','\'(322.2-361.6]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(248.166667-297.4]\'','\'(715.5-794.2]\'','\'(148.466667-159.733333]\'','\'(1885.4-1959.533333]\'','\'(1602.2-1678.933333]\'','\'(12.05-13.6]\'','\'(51.6-54.25]\'',0.75
'\'(2.833333-3.75]\'',22,'\'(3.246667-3.64]\'','\'(1482.8-1529.233333]\'','\'(204-243.4]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(248.166667-297.4]\'','\'(794.2-872.9]\'','\'(137.2-148.466667]\'','\'(1663-1737.133333]\'','\'(1448.733333-1525.466667]\'','\'(10.5-12.05]\'','\'(56.9-59.55]\'',0.77
'\'(2.833333-3.75]\'',23,'\'(4.82-inf)\'','\'(1668.533333-1714.966667]\'','\'(361.6-401]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(297.4-346.633333]\'','\'(715.5-794.2]\'','\'(125.933333-137.2]\'','\'(2033.666667-2107.8]\'','\'(1602.2-1678.933333]\'','\'(8.95-10.5]\'','\'(62.2-64.85]\'',0.78
'\'(2.833333-3.75]\'',0,'\'(2.46-2.853333]\'','\'(1250.633333-1297.066667]\'','\'(85.8-125.2]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(149.7-198.933333]\'','\'(951.6-1030.3]\'','\'(103.4-114.666667]\'','\'(1514.733333-1588.866667]\'','\'(1218.533333-1295.266667]\'','\'(8.95-10.5]\'','\'(62.2-64.85]\'',0.76
'\'(2.833333-3.75]\'',1,'\'(1.673333-2.066667]\'','\'(1157.766667-1204.2]\'','\'(46.4-85.8]\'','\'(6.46-8.58]\'','\'(810.233333-inf)\'','\'(100.466667-149.7]\'','\'(1030.3-1109]\'','\'(92.133333-103.4]\'','\'(1440.6-1514.733333]\'','\'(1141.8-1218.533333]\'','\'(8.95-10.5]\'','\'(62.2-64.85]\'',0.74
'\'(2.833333-3.75]\'',2,'\'(1.28-1.673333]\'','\'(1157.766667-1204.2]\'','\'(-inf-46.4]\'','\'(4.34-6.46]\'','\'(749.2-810.233333]\'','\'(51.233333-100.466667]\'','\'(1109-1187.7]\'','\'(80.866667-92.133333]\'','\'(1292.333333-1366.466667]\'','\'(988.333333-1065.066667]\'','\'(7.4-8.95]\'','\'(62.2-64.85]\'',0.73
'\'(2.833333-3.75]\'',3,'\'(1.673333-2.066667]\'','\'(1157.766667-1204.2]\'','\'(-inf-46.4]\'','\'(4.34-6.46]\'','\'(749.2-810.233333]\'',?,'\'(1109-1187.7]\'',?,'\'(1366.466667-1440.6]\'','\'(988.333333-1065.066667]\'','\'(7.4-8.95]\'','\'(64.85-67.5]\'',0.72
'\'(2.833333-3.75]\'',4,?,'\'(1111.333333-1157.766667]\'','\'(46.4-85.8]\'','\'(4.34-6.46]\'','\'(810.233333-inf)\'','\'(100.466667-149.7]\'','\'(1109-1187.7]\'','\'(80.866667-92.133333]\'','\'(1366.466667-1440.6]\'','\'(988.333333-1065.066667]\'','\'(5.85-7.4]\'','\'(70.15-72.8]\'',0.72
'\'(2.833333-3.75]\'',5,'\'(0.886667-1.28]\'','\'(972.033333-1018.466667]\'','\'(-inf-46.4]\'','\'(2.22-4.34]\'','\'(566.1-627.133333]\'','\'(51.233333-100.466667]\'','\'(1187.7-inf)\'','\'(58.333333-69.6]\'','\'(1218.2-1292.333333]\'','\'(758.133333-834.866667]\'','\'(7.4-8.95]\'','\'(62.2-64.85]\'',0.7
'\'(2.833333-3.75]\'',6,'\'(0.886667-1.28]\'','\'(1064.9-1111.333333]\'','\'(-inf-46.4]\'','\'(2.22-4.34]\'','\'(627.133333-688.166667]\'','\'(51.233333-100.466667]\'','\'(1187.7-inf)\'','\'(58.333333-69.6]\'','\'(1218.2-1292.333333]\'','\'(834.866667-911.6]\'','\'(5.85-7.4]\'','\'(64.85-67.5]\'',0.69
'\'(2.833333-3.75]\'',7,'\'(1.28-1.673333]\'','\'(1111.333333-1157.766667]\'','\'(46.4-85.8]\'','\'(4.34-6.46]\'','\'(749.2-810.233333]\'','\'(100.466667-149.7]\'','\'(1187.7-inf)\'','\'(69.6-80.866667]\'','\'(1366.466667-1440.6]\'','\'(911.6-988.333333]\'','\'(5.85-7.4]\'','\'(70.15-72.8]\'',0.69
'\'(2.833333-3.75]\'',8,'\'(2.46-2.853333]\'','\'(1297.066667-1343.5]\'','\'(125.2-164.6]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(248.166667-297.4]\'','\'(872.9-951.6]\'','\'(92.133333-103.4]\'','\'(1663-1737.133333]\'','\'(1141.8-1218.533333]\'','\'(5.85-7.4]\'','\'(70.15-72.8]\'',0.69
'\'(2.833333-3.75]\'',9,'\'(3.64-4.033333]\'','\'(1389.933333-1436.366667]\'','\'(204-243.4]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(248.166667-297.4]\'','\'(794.2-872.9]\'','\'(114.666667-125.933333]\'','\'(1737.133333-1811.266667]\'','\'(1372-1448.733333]\'','\'(8.95-10.5]\'','\'(59.55-62.2]\'',0.71
'\'(2.833333-3.75]\'',10,'\'(2.853333-3.246667]\'','\'(1436.366667-1482.8]\'','\'(125.2-164.6]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(248.166667-297.4]\'','\'(794.2-872.9]\'','\'(125.933333-137.2]\'','\'(1663-1737.133333]\'','\'(1448.733333-1525.466667]\'','\'(12.05-13.6]\'','\'(48.95-51.6]\'',0.73
'\'(2.833333-3.75]\'',11,'\'(4.033333-4.426667]\'','\'(1529.233333-1575.666667]\'','\'(282.8-322.2]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(248.166667-297.4]\'','\'(794.2-872.9]\'','\'(148.466667-159.733333]\'','\'(1737.133333-1811.266667]\'','\'(1525.466667-1602.2]\'','\'(15.15-16.7]\'','\'(41-43.65]\'',0.75
'\'(2.833333-3.75]\'',12,'\'(3.246667-3.64]\'','\'(1436.366667-1482.8]\'','\'(204-243.4]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(198.933333-248.166667]\'','\'(872.9-951.6]\'','\'(159.733333-171]\'','\'(1663-1737.133333]\'','\'(1372-1448.733333]\'','\'(18.25-19.8]\'','\'(33.05-35.7]\'',0.71
'\'(2.833333-3.75]\'',13,'\'(2.46-2.853333]\'','\'(1297.066667-1343.5]\'','\'(125.2-164.6]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(149.7-198.933333]\'','\'(951.6-1030.3]\'','\'(114.666667-125.933333]\'','\'(1588.866667-1663]\'','\'(1065.066667-1141.8]\'','\'(18.25-19.8]\'','\'(30.4-33.05]\'',0.7
'\'(2.833333-3.75]\'',14,'\'(1.673333-2.066667]\'','\'(1204.2-1250.633333]\'','\'(85.8-125.2]\'','\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(100.466667-149.7]\'','\'(1030.3-1109]\'','\'(92.133333-103.4]\'','\'(1440.6-1514.733333]\'','\'(834.866667-911.6]\'','\'(16.7-18.25]\'','\'(33.05-35.7]\'',0.71
